grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [64, 64, 86, 10] ; 278768559 ; 0.9777777791023254 ; 1.0 ; 23926983 ;  2 _ 243
3 2 0 [64, 64, 88, 10] ; 286355941 ; 0.9777777791023254 ; 1.0 ; 22372228 ;  2 _ 245
3 2 0 [64, 64, 90, 10] ; 261667962 ; 0.9851852059364319 ; 1.0 ; 25914959 ;  2 _ 247
3 2 0 [64, 64, 92, 10] ; 299940463 ; 0.9888888597488403 ; 1.0 ; 25507343 ;  2 _ 248
3 2 0 [64, 64, 94, 10] ; 276193513 ; 0.9740740656852722 ; 1.0 ; 25092227 ;  2 _ 250
3 2 0 [64, 64, 96, 10] ; 373183089 ; 0.9777777791023254 ; 1.0 ; 24294449 ;  2 _ 252
3 2 0 [64, 64, 98, 10] ; 327595093 ; 0.9740740656852722 ; 1.0 ; 28711011 ;  2 _ 254
3 2 0 [64, 64, 100, 10] ; 306803877 ; 0.9814814925193787 ; 1.0 ; 23750428 ;  2 _ 255
3 2 0 [64, 64, 102, 10] ; 295783000 ; 0.9740740656852722 ; 1.0 ; 26432479 ;  2 _ 257
3 2 0 [64, 64, 104, 10] ; 292089195 ; 0.9851852059364319 ; 1.0 ; 25716244 ;  2 _ 259
3 2 0 [64, 64, 106, 10] ; 342494950 ; 0.9814814925193787 ; 1.0 ; 27462158 ;  2 _ 261
3 2 0 [64, 64, 108, 10] ; 306920810 ; 0.9777777791023254 ; 1.0 ; 22940730 ;  2 _ 262
3 2 0 [64, 64, 110, 10] ; 304747485 ; 0.9814814925193787 ; 1.0 ; 27611246 ;  2 _ 264
3 2 0 [64, 64, 112, 10] ; 342976130 ; 0.9814814925193787 ; 1.0 ; 20746001 ;  2 _ 266
3 2 0 [64, 64, 114, 10] ; 310339350 ; 0.9777777791023254 ; 1.0 ; 27798897 ;  2 _ 267
3 2 0 [64, 64, 116, 10] ; 401598205 ; 0.9777777791023254 ; 1.0 ; 23738867 ;  2 _ 269
3 2 0 [64, 64, 118, 10] ; 479031364 ; 0.9851852059364319 ; 1.0 ; 28059065 ;  2 _ 271
3 2 0 [64, 64, 120, 10] ; 347284027 ; 0.9740740656852722 ; 1.0 ; 26197000 ;  2 _ 272
3 2 0 [64, 64, 122, 10] ; 391160198 ; 0.9814814925193787 ; 1.0 ; 26217393 ;  2 _ 274
3 2 0 [64, 64, 124, 10] ; 444900390 ; 0.9814814925193787 ; 1.0 ; 30256685 ;  2 _ 276
3 2 0 [64, 64, 126, 10] ; 425841213 ; 0.9851852059364319 ; 1.0 ; 25130175 ;  2 _ 277
3 2 0 [64, 64, 128, 10] ; 467269174 ; 0.9814814925193787 ; 1.0 ; 28238520 ;  2 _ 279
3 2 0 [64, 66, 64, 10] ; 279345997 ; 0.9777777791023254 ; 1.0 ; 19162739 ;  2 _ 225
3 2 0 [64, 66, 66, 10] ; 293084072 ; 0.9777777791023254 ; 1.0 ; 21991571 ;  2 _ 227
3 2 0 [64, 66, 68, 10] ; 295602879 ; 0.970370352268219 ; 1.0 ; 21154413 ;  2 _ 229
3 2 0 [64, 66, 70, 10] ; 247520869 ; 0.9814814925193787 ; 1.0 ; 18679426 ;  2 _ 231
3 2 0 [64, 66, 72, 10] ; 273407287 ; 0.9814814925193787 ; 1.0 ; 18685149 ;  2 _ 233
3 2 0 [64, 66, 74, 10] ; 318079973 ; 0.9777777791023254 ; 1.0 ; 22156673 ;  2 _ 235
3 2 0 [64, 66, 76, 10] ; 266720100 ; 0.9814814925193787 ; 1.0 ; 27260627 ;  2 _ 237
3 2 0 [64, 66, 78, 10] ; 287705850 ; 0.9777777791023254 ; 1.0 ; 27097338 ;  2 _ 239
3 2 0 [64, 66, 80, 10] ; 267225400 ; 0.9777777791023254 ; 1.0 ; 23717046 ;  2 _ 241
3 2 0 [64, 66, 82, 10] ; 260836565 ; 0.9740740656852722 ; 1.0 ; 21445659 ;  2 _ 243
3 2 0 [64, 66, 84, 10] ; 277229202 ; 0.9851852059364319 ; 1.0 ; 21817627 ;  2 _ 245
3 2 0 [64, 66, 86, 10] ; 319866632 ; 0.9814814925193787 ; 1.0 ; 19099160 ;  2 _ 247
3 2 0 [64, 66, 88, 10] ; 276317318 ; 0.9777777791023254 ; 1.0 ; 23750252 ;  2 _ 248
3 2 0 [64, 66, 90, 10] ; 333222123 ; 0.9777777791023254 ; 1.0 ; 22086496 ;  2 _ 250
3 2 0 [64, 66, 92, 10] ; 263858024 ; 0.9777777791023254 ; 1.0 ; 24758899 ;  2 _ 252
3 2 0 [64, 66, 94, 10] ; 318262125 ; 0.9814814925193787 ; 1.0 ; 26201036 ;  2 _ 254
3 2 0 [64, 66, 96, 10] ; 275058604 ; 0.9777777791023254 ; 1.0 ; 23279579 ;  2 _ 256
3 2 0 [64, 66, 98, 10] ; 286201235 ; 0.9777777791023254 ; 1.0 ; 25001031 ;  2 _ 258
3 2 0 [64, 66, 100, 10] ; 285197834 ; 0.9777777791023254 ; 1.0 ; 24844773 ;  2 _ 259
3 2 0 [64, 66, 102, 10] ; 302800996 ; 0.9777777791023254 ; 1.0 ; 22407825 ;  2 _ 261
3 2 0 [64, 66, 104, 10] ; 358358776 ; 0.9814814925193787 ; 1.0 ; 23388113 ;  2 _ 263
3 2 0 [64, 66, 106, 10] ; 319650756 ; 0.9740740656852722 ; 1.0 ; 23802933 ;  2 _ 265
