grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [13, 21, 27, 3] ; 9942260 ; 0.9629629850387573 ; 0.8148148148148148 ; 431844 ;  2 _ 73
3 3 0 [13, 9, 3] ; 2263579 ; 0.8888888955116272 ; 0.8888888888888888 ; 260142 ;  2 _ 30
3 3 0 [13, 11, 3] ; 5014502 ; 0.9629629850387573 ; 0.8518518518518519 ; 280011 ;  6 _ 20
3 3 0 [13, 13, 3] ; 5180711 ; 0.9629629850387573 ; 0.8518518518518519 ; 357615 ;  2 _ 37
3 3 0 [13, 15, 3] ; 4129949 ; 0.9629629850387573 ; 0.7777777777777778 ; 188080 ;  2 _ 40
3 3 0 [13, 17, 3] ; 6154224 ; 0.9259259104728699 ; 0.7777777777777778 ; 291818 ;  5 _ 28
3 3 0 [13, 19, 3] ; 4411684 ; 0.9629629850387573 ; 0.8888888888888888 ; 616101 ;  3 _ 38
3 3 0 [13, 21, 3] ; 4361631 ; 0.9259259104728699 ; 0.7777777777777778 ; 221887 ;  2 _ 48
3 3 0 [13, 23, 3] ; 5486238 ; 0.9629629850387573 ; 0.8148148148148148 ; 601808 ;  3 _ 42
3 3 0 [13, 25, 3] ; 4938232 ; 0.9259259104728699 ; 0.8518518518518519 ; 301934 ;  4 _ 38
3 3 0 [13, 27, 3] ; 5772549 ; 1.0 ; 0.9259259259259259 ; 262579 ;  2 _ 55
3 3 0 [13, 13, 13, 3] ; 7237598 ; 0.8888888955116272 ; 0.8518518518518519 ; 506921 ;  3 _ 42
3 3 0 [13, 13, 15, 3] ; 7446333 ; 0.8888888955116272 ; 0.8518518518518519 ; 464293 ;  4 _ 38
3 3 0 [13, 13, 17, 3] ; 10776748 ; 0.9259259104728699 ; 0.7777777777777778 ; 657180 ;  3 _ 46
3 3 0 [13, 13, 19, 3] ; 8146129 ; 0.9629629850387573 ; 0.8148148148148148 ; 363444 ;  2 _ 58
3 3 0 [13, 13, 21, 3] ; 15020464 ; 1.0 ; 0.8518518518518519 ; 279332 ;  2 _ 60
