grid degree lamb width ; KAN_time ; KAN_acc ; current_best_mlp ; MLP_time ; layers neurons
3 2 0 [30, 32, 58, 2] ; 54126063 ; 1.0 ; 0.9418604651162791 ; 13642115 ;  3   108
3 2 0 [30, 32, 60, 2] ; 38557239 ; 0.9767441749572754 ; 0.9418604651162791 ; 9240035 ;  2   132
3 2 0 [30, 34, 30, 2] ; 24144961 ; 0.9767441749572754 ; 0.9418604651162791 ; 14676531 ;  3   90
3 2 0 [30, 34, 32, 2] ; 52876677 ; 0.9534883499145508 ; 0.9534883720930233 ; 7382928 ;  7   61
3 2 0 [30, 34, 34, 2] ; 36735403 ; 0.9883720874786377 ; 0.9418604651162791 ; 9710975 ;  6   67
3 2 0 [30, 34, 36, 2] ; 34366222 ; 0.9767441749572754 ; 0.9418604651162791 ; 15516237 ;  3   95
3 2 0 [30, 34, 38, 2] ; 31902770 ; 0.9767441749572754 ; 0.9534883720930233 ; 9104322 ;  5   76
3 2 0 [30, 34, 40, 2] ; 38063117 ; 0.9418604373931885 ; 0.9418604651162791 ; 9325022 ;  2   119
3 2 0 [30, 34, 42, 2] ; 30137994 ; 0.9534883499145508 ; 0.9534883720930233 ; 8118943 ;  4   87
3 2 0 [30, 34, 44, 2] ; 32837087 ; 0.9883720874786377 ; 0.9302325581395349 ; 6328067 ;  2   122
3 2 0 [30, 34, 46, 2] ; 33950486 ; 0.9767441749572754 ; 0.9418604651162791 ; 17728709 ;  3   102
3 2 0 [30, 34, 48, 2] ; 36347176 ; 0.9767441749572754 ; 0.9418604651162791 ; 7671502 ;  4   91
3 2 0 [30, 34, 50, 2] ; 54436751 ; 1.0 ; 0.9418604651162791 ; 17126313 ;  9   62
3 2 0 [30, 34, 52, 2] ; 52013832 ; 0.9883720874786377 ; 0.9534883720930233 ; 18060514 ;  3   107
3 2 0 [30, 34, 54, 2] ; 45610230 ; 0.9767441749572754 ; 0.9534883720930233 ; 15875893 ;  3   108
3 2 0 [30, 34, 56, 2] ; 54152547 ; 0.9767441749572754 ; 0.9418604651162791 ; 14836883 ;  2   133
3 2 0 [30, 34, 58, 2] ; 39125946 ; 0.9883720874786377 ; 0.9651162790697675 ; 18040613 ;  3   111
3 2 0 [30, 34, 60, 2] ; 40268192 ; 0.9883720874786377 ; 0.9651162790697675 ; 8000223 ;  4   98
3 2 0 [30, 36, 30, 2] ; 27599492 ; 0.9534883499145508 ; 0.9534883720930233 ; 9731481 ;  8   58
3 2 0 [30, 36, 32, 2] ; 24935366 ; 0.9767441749572754 ; 0.9534883720930233 ; 15379031 ;  3   95
3 2 0 [30, 36, 34, 2] ; 44346007 ; 0.9767441749572754 ; 0.9534883720930233 ; 9496975 ;  4   84
3 2 0 [30, 36, 36, 2] ; 30837451 ; 0.9767441749572754 ; 0.9651162790697675 ; 19734756 ;  9   58
3 2 0 [30, 36, 38, 2] ; 41905331 ; 0.9767441749572754 ; 0.9651162790697675 ; 19465463 ;  3   99
3 2 0 [30, 36, 40, 2] ; 25570873 ; 0.9534883499145508 ; 0.9418604651162791 ; 8279897 ;  5   79
3 2 0 [30, 36, 42, 2] ; 60055290 ; 1.0 ; 0.9534883720930233 ; 7894934 ;  2   124
3 2 0 [30, 36, 44, 2] ; 40344163 ; 0.9651162624359131 ; 0.9418604651162791 ; 7237354 ;  2   126
3 2 0 [30, 36, 46, 2] ; 54692451 ; 0.9651162624359131 ; 0.9418604651162791 ; 15655048 ;  9   62
3 2 0 [30, 36, 48, 2] ; 47083506 ; 0.9651162624359131 ; 0.9418604651162791 ; 18625597 ;  3   107
3 2 0 [30, 36, 50, 2] ; 46011732 ; 0.9767441749572754 ; 0.9651162790697675 ; 27934996 ;  4   95
3 2 0 [30, 36, 52, 2] ; 29500378 ; 0.9418604373931885 ; 0.9651162790697675 ; 15140587 ;  3   110
3 2 0 [30, 36, 54, 2] ; 33844999 ; 0.9767441749572754 ; 0.9418604651162791 ; 6383636 ;  2   135
3 2 0 [30, 36, 56, 2] ; 62737937 ; 0.9883720874786377 ; 0.9418604651162791 ; 15582936 ;  3   113
3 2 0 [30, 36, 58, 2] ; 37739001 ; 0.9767441749572754 ; 0.9534883720930233 ; 25065382 ;  4   99
3 2 0 [30, 36, 60, 2] ; 39014772 ; 0.9883720874786377 ; 0.9418604651162791 ; 8244119 ;  4   101
3 2 0 [30, 38, 30, 2] ; 37042731 ; 0.9883720874786377 ; 0.9418604651162791 ; 10045085 ;  6   69
3 2 0 [30, 38, 32, 2] ; 44178662 ; 0.9883720874786377 ; 0.9534883720930233 ; 7301389 ;  9   57
3 2 0 [30, 38, 34, 2] ; 48748242 ; 0.9883720874786377 ; 0.9418604651162791 ; 25399824 ;  4   86
3 2 0 [30, 38, 36, 2] ; 41532245 ; 0.9767441749572754 ; 0.9418604651162791 ; 10589882 ;  6   72
